Id,Predicted
0,1
1,4
2,4
3,1
4,2
5,2
6,3
7,1
8,0
9,3
10,3
11,1
12,0
13,3
14,3
15,4
16,3
17,1
18,1
19,4
20,1
21,3
22,3
23,4
24,0
25,3
26,1
27,4
28,1
29,1
30,1
31,4
32,0
33,0
34,1
35,0
36,1
37,1
38,1
39,4
40,3
41,1
42,3
43,3
44,1
45,3
46,4
47,1
48,0
49,0
50,0
51,2
52,1
53,4
54,1
55,2
56,2
57,3
58,3
59,2
60,2
61,1
62,3
63,0
64,2
65,3
66,1
67,4
68,3
69,4
70,1
71,4
72,3
73,1
74,3
75,0
76,3
77,1
78,3
79,3
80,0
81,1
82,4
83,3
84,3
85,2
86,0
87,1
88,4
89,2
90,1
91,2
92,3
93,0
94,1
95,4
96,2
97,3
98,1
99,2
100,3
101,2
102,3
103,2
104,3
105,4
106,3
107,1
108,1
109,1
110,1
111,4
112,4
113,2
114,4
115,1
116,1
117,4
118,1
119,1
120,1
121,3
122,3
123,1
124,0
125,0
126,1
127,3
128,3
129,1
130,1
131,3
132,0
133,1
134,1
135,3
136,4
137,4
138,4
139,2
140,4
141,4
142,1
143,3
144,3
145,3
146,3
147,1
148,1
149,3
150,4
151,4
152,3
153,1
154,2
155,1
156,1
157,1
158,1
159,0
160,2
161,1
162,3
163,2
164,2
165,4
166,1
167,1
168,4
169,3
170,1
171,3
172,2
173,1
174,1
175,1
176,2
177,3
178,1
179,2
180,2
181,4
182,2
183,1
184,1
185,3
186,2
187,3
188,1
189,1
190,3
191,1
192,3
193,4
194,1
195,1
196,2
197,3
198,1
199,3
200,3
201,3
202,3
203,4
204,3
205,1
206,1
207,4
208,2
209,3
210,1
211,1
212,1
213,4
214,3
215,1
216,1
217,2
218,3
219,1
220,2
221,2
222,3
223,1
224,4
225,3
226,2
227,1
228,1
229,0
230,0
231,4
232,3
233,3
234,1
235,3
236,3
237,2
238,2
239,3
240,4
241,2
242,0
243,0
244,1
245,0
246,3
247,1
248,2
249,1
250,2
251,2
252,3
253,4
254,4
255,3
256,1
257,3
258,4
259,0
260,1
261,3
262,0
263,1
264,1
265,2
266,3
267,1
268,3
269,2
270,2
271,3
272,1
273,1
274,3
275,4
276,2
277,1
278,3
279,1
280,4
281,2
282,3
283,3
284,0
285,3
286,1
287,2
288,0
289,0
290,3
291,2
292,1
293,0
294,1
295,4
296,1
297,1
298,4
299,3
300,1
301,1
302,2
303,1
304,1
305,3
306,0
307,1
308,1
309,1
310,1
311,3
312,1
313,1
314,1
315,1
316,3
317,1
318,4
319,3
320,3
321,1
322,1
323,1
324,3
325,3
326,4
327,4
328,3
329,3
330,2
331,4
332,2
333,0
334,1
335,3
336,2
337,1
338,1
339,2
340,0
341,1
342,0
343,3
344,0
345,1
346,3
347,3
